cluster,rank,feature_index,feature_name,weight
0,1,86,breath,0.273972
0,2,339,shortness,0.248244
0,3,340,shortness breath,0.236037
0,4,303,present_illness,0.217938
0,5,207,hypertension,0.181995
0,6,358,systems,0.174853
0,7,421,the_patient,0.171056
0,8,93,chest_pain,0.168820
0,9,494,which,0.155549
0,10,496,who,0.153308
1,1,421,the_patient,0.283765
1,2,428,the_procedure,0.240422
1,3,462,this,0.213599
1,4,494,which,0.206484
1,5,302,preoperative_diagnosis,0.204357
1,6,411,the_operating_room,0.197813
1,7,129,diagnosis,0.181224
1,8,301,preoperative_diagnoses,0.151248
1,9,496,who,0.141180
1,10,124,detail,0.137454
2,1,303,present_illness,0.242793
2,2,494,which,0.240611
2,3,421,the_patient,0.235778
2,4,496,who,0.232206
2,5,462,this,0.230502
2,6,361,that,0.208532
2,7,304,present_illness the_patient,0.149734
2,8,195,her,0.143963
2,9,200,him,0.140875
2,10,139,dr._x,0.129906
3,1,421,the_patient,0.284118
3,2,428,the_procedure,0.240278
3,3,462,this,0.214367
3,4,494,which,0.207904
3,5,302,preoperative_diagnosis,0.200560
3,6,411,the_operating_room,0.197036
3,7,129,diagnosis,0.178327
3,8,301,preoperative_diagnoses,0.156076
3,9,496,who,0.141907
3,10,124,detail,0.136594
4,1,411,the_operating_room,0.294029
4,2,425,the_patient the_operating_room,0.265297
4,3,421,the_patient,0.261312
4,4,302,preoperative_diagnosis,0.256065
4,5,428,the_procedure,0.219804
4,6,129,diagnosis,0.206547
4,7,462,this,0.172855
4,8,494,which,0.153442
4,9,124,detail,0.143628
4,10,442,the_skin,0.140440
5,1,70,benefits,0.281270
5,2,76,bleeding,0.226248
5,3,211,infection,0.224205
5,4,332,risks,0.216368
5,5,421,the_patient,0.208194
5,6,428,the_procedure,0.200468
5,7,47,alternatives,0.193348
5,8,439,the_risks,0.173551
5,9,77,bleeding infection,0.171222
5,10,462,this,0.157495
6,1,155,exam,0.644380
6,2,256,no_evidence,0.452488
6,3,110,contrast,0.319815
6,4,284,pelvis,0.136193
6,5,154,evidence,0.131877
6,6,317,reason,0.131536
6,7,494,which,0.128066
6,8,342,size,0.114224
6,9,462,this,0.111977
6,10,436,the_right,0.107907
7,1,421,the_patient,0.239331
7,2,302,preoperative_diagnosis,0.197070
7,3,411,the_operating_room,0.196349
7,4,51,anesthesia,0.191040
7,5,428,the_procedure,0.184850
7,6,287,performed,0.173433
7,7,129,diagnosis,0.172773
7,8,462,this,0.166969
7,9,494,which,0.161148
7,10,381,the_department,0.151909
8,1,330,rhythm,0.247291
8,2,320,regular_rate,0.237821
8,3,321,regular_rate rhythm,0.224472
8,4,66,auscultation,0.205941
8,5,81,blood_pressure,0.179220
8,6,310,pulse,0.159602
8,7,358,systems,0.150751
8,8,251,no_acute_distress,0.149744
8,9,359,temperature,0.148379
8,10,325,respirations,0.144592
9,1,303,present_illness,0.242792
9,2,494,which,0.240611
9,3,421,the_patient,0.235779
9,4,496,who,0.232206
9,5,462,this,0.230502
9,6,361,that,0.208532
9,7,304,present_illness the_patient,0.149734
9,8,195,her,0.143963
9,9,200,him,0.140875
9,10,139,dr._x,0.129906
