cluster,rank,feature_index,feature_name,weight,canonical,snomed_code,semantic_type,matched
0,1,421,the_patient,0.061082,—,—,—,False
0,2,462,this,0.049244,—,—,—,False
0,3,494,which,0.049235,—,—,—,False
0,4,496,who,0.040189,—,—,—,False
0,5,428,the_procedure,0.03525,—,—,—,False
0,6,361,that,0.033457,—,—,—,False
0,7,411,the_operating_room,0.031381,Operating room,225738002,Environment,True
0,8,302,preoperative_diagnosis,0.029741,Preoperative diagnosis,89100005,Finding,True
0,9,129,diagnosis,0.028482,Diagnosis,439401001,Finding,True
0,10,303,present_illness,0.028456,History of present illness,417662000,Observable entity,True
1,1,421,the_patient,0.061082,—,—,—,False
1,2,462,this,0.049244,—,—,—,False
1,3,494,which,0.049235,—,—,—,False
1,4,496,who,0.040189,—,—,—,False
1,5,428,the_procedure,0.03525,—,—,—,False
1,6,361,that,0.033457,—,—,—,False
1,7,411,the_operating_room,0.031381,Operating room,225738002,Environment,True
1,8,302,preoperative_diagnosis,0.029741,Preoperative diagnosis,89100005,Finding,True
1,9,129,diagnosis,0.028482,Diagnosis,439401001,Finding,True
1,10,303,present_illness,0.028456,History of present illness,417662000,Observable entity,True
2,1,421,the_patient,0.061082,—,—,—,False
2,2,462,this,0.049244,—,—,—,False
2,3,494,which,0.049235,—,—,—,False
2,4,496,who,0.040189,—,—,—,False
2,5,428,the_procedure,0.03525,—,—,—,False
2,6,361,that,0.033457,—,—,—,False
2,7,411,the_operating_room,0.031381,Operating room,225738002,Environment,True
2,8,302,preoperative_diagnosis,0.029741,Preoperative diagnosis,89100005,Finding,True
2,9,129,diagnosis,0.028482,Diagnosis,439401001,Finding,True
2,10,303,present_illness,0.028456,History of present illness,417662000,Observable entity,True
3,1,421,the_patient,0.061082,—,—,—,False
3,2,462,this,0.049244,—,—,—,False
3,3,494,which,0.049235,—,—,—,False
3,4,496,who,0.040189,—,—,—,False
3,5,428,the_procedure,0.03525,—,—,—,False
3,6,361,that,0.033457,—,—,—,False
3,7,411,the_operating_room,0.031381,Operating room,225738002,Environment,True
3,8,302,preoperative_diagnosis,0.029741,Preoperative diagnosis,89100005,Finding,True
3,9,129,diagnosis,0.028482,Diagnosis,439401001,Finding,True
3,10,303,present_illness,0.028456,History of present illness,417662000,Observable entity,True
4,1,421,the_patient,0.061082,—,—,—,False
4,2,462,this,0.049244,—,—,—,False
4,3,494,which,0.049235,—,—,—,False
4,4,496,who,0.040189,—,—,—,False
4,5,428,the_procedure,0.03525,—,—,—,False
4,6,361,that,0.033457,—,—,—,False
4,7,411,the_operating_room,0.031381,Operating room,225738002,Environment,True
4,8,302,preoperative_diagnosis,0.029741,Preoperative diagnosis,89100005,Finding,True
4,9,129,diagnosis,0.028482,Diagnosis,439401001,Finding,True
4,10,303,present_illness,0.028456,History of present illness,417662000,Observable entity,True
5,1,421,the_patient,0.061082,—,—,—,False
5,2,462,this,0.049244,—,—,—,False
5,3,494,which,0.049235,—,—,—,False
5,4,496,who,0.040189,—,—,—,False
5,5,428,the_procedure,0.03525,—,—,—,False
5,6,361,that,0.033457,—,—,—,False
5,7,411,the_operating_room,0.031381,Operating room,225738002,Environment,True
5,8,302,preoperative_diagnosis,0.029741,Preoperative diagnosis,89100005,Finding,True
5,9,129,diagnosis,0.028482,Diagnosis,439401001,Finding,True
5,10,303,present_illness,0.028456,History of present illness,417662000,Observable entity,True
6,1,421,the_patient,0.061082,—,—,—,False
6,2,462,this,0.049244,—,—,—,False
6,3,494,which,0.049235,—,—,—,False
6,4,496,who,0.040189,—,—,—,False
6,5,428,the_procedure,0.03525,—,—,—,False
6,6,361,that,0.033457,—,—,—,False
6,7,411,the_operating_room,0.031381,Operating room,225738002,Environment,True
6,8,302,preoperative_diagnosis,0.029741,Preoperative diagnosis,89100005,Finding,True
6,9,129,diagnosis,0.028482,Diagnosis,439401001,Finding,True
6,10,303,present_illness,0.028456,History of present illness,417662000,Observable entity,True
7,1,421,the_patient,0.061082,—,—,—,False
7,2,462,this,0.049244,—,—,—,False
7,3,494,which,0.049235,—,—,—,False
7,4,496,who,0.040189,—,—,—,False
7,5,428,the_procedure,0.03525,—,—,—,False
7,6,361,that,0.033457,—,—,—,False
7,7,411,the_operating_room,0.031381,Operating room,225738002,Environment,True
7,8,302,preoperative_diagnosis,0.029741,Preoperative diagnosis,89100005,Finding,True
7,9,129,diagnosis,0.028482,Diagnosis,439401001,Finding,True
7,10,303,present_illness,0.028456,History of present illness,417662000,Observable entity,True
8,1,421,the_patient,0.061082,—,—,—,False
8,2,462,this,0.049244,—,—,—,False
8,3,494,which,0.049235,—,—,—,False
8,4,496,who,0.040189,—,—,—,False
8,5,428,the_procedure,0.03525,—,—,—,False
8,6,361,that,0.033457,—,—,—,False
8,7,411,the_operating_room,0.031381,Operating room,225738002,Environment,True
8,8,302,preoperative_diagnosis,0.029741,Preoperative diagnosis,89100005,Finding,True
8,9,129,diagnosis,0.028482,Diagnosis,439401001,Finding,True
8,10,303,present_illness,0.028456,History of present illness,417662000,Observable entity,True
9,1,421,the_patient,0.061082,—,—,—,False
9,2,462,this,0.049244,—,—,—,False
9,3,494,which,0.049235,—,—,—,False
9,4,496,who,0.040189,—,—,—,False
9,5,428,the_procedure,0.03525,—,—,—,False
9,6,361,that,0.033457,—,—,—,False
9,7,411,the_operating_room,0.031381,Operating room,225738002,Environment,True
9,8,302,preoperative_diagnosis,0.029741,Preoperative diagnosis,89100005,Finding,True
9,9,129,diagnosis,0.028482,Diagnosis,439401001,Finding,True
9,10,303,present_illness,0.028456,History of present illness,417662000,Observable entity,True
